datetime,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
2026-03-12 02:10:00,BTCUSDT,82028.69600000,5726098994.05910100,20000978.00000000,1773281400000
2026-03-12 02:15:00,BTCUSDT,82005.78300000,5719337524.34730000,20000978.00000000,1773281700000
2026-03-12 02:20:00,BTCUSDT,81795.98600000,5689329833.94346700,20000978.00000000,1773282000000
2026-03-12 02:25:00,BTCUSDT,81861.83200000,5690641534.27318400,20000978.00000000,1773282300000
2026-03-12 02:30:00,BTCUSDT,81875.37500000,5695978380.15055750,20000978.00000000,1773282600000
2026-03-12 02:35:00,BTCUSDT,81880.34500000,5696030764.02850000,20000978.00000000,1773282900000
2026-03-12 02:40:00,BTCUSDT,81744.21200000,5672419779.18416700,20000978.00000000,1773283200000
2026-03-12 02:45:00,BTCUSDT,81681.55500000,5670145680.52350000,20000978.00000000,1773283500000
2026-03-12 02:50:00,BTCUSDT,81667.68200000,5666160096.49529000,20000978.00000000,1773283800000
2026-03-12 02:55:00,BTCUSDT,81538.66900000,5645230599.88264100,20000978.00000000,1773284100000
2026-03-12 03:00:00,BTCUSDT,81561.35700000,5647771631.91587200,20000978.00000000,1773284400000
2026-03-12 03:05:00,BTCUSDT,81525.54300000,5651058158.42241600,20000978.00000000,1773284700000
2026-03-12 03:10:00,BTCUSDT,81491.47300000,5649828270.53190000,20000978.00000000,1773285000000
2026-03-12 03:15:00,BTCUSDT,81487.21500000,5649264154.30500000,20000978.00000000,1773285300000
2026-03-12 03:20:00,BTCUSDT,81463.84500000,5651912687.79300000,20000978.00000000,1773285600000
2026-03-12 03:25:00,BTCUSDT,81485.63000000,5657859518.44405300,20000978.00000000,1773285900000
2026-03-12 03:30:00,BTCUSDT,81510.27400000,5655058759.75219000,20000978.00000000,1773286200000
2026-03-12 03:35:00,BTCUSDT,81631.59000000,5677093416.02700000,20000978.00000000,1773286500000
2026-03-12 03:40:00,BTCUSDT,81626.64000000,5674635997.99907100,20000978.00000000,1773286800000
2026-03-12 03:45:00,BTCUSDT,81597.04600000,5672700075.26140000,20000978.00000000,1773287100000
2026-03-12 03:50:00,BTCUSDT,81566.57900000,5654254795.60287200,20000978.00000000,1773287400000
